budget,expandedBy,objectiveValue,epoch,treeDepth,parentValue,H,Rx,Ry,Rz,Cx
0.0,,74.55590154701899,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
1.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
2.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
3.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
4.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
5.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
6.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
7.0,add_cx,74.54786953520569,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
8.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
9.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
10.0,add_cx,74.5460952315187,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
11.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
12.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
13.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
14.0,add_cx,74.60234456348589,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
15.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
16.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
17.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
18.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
19.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
20.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
21.0,add_cx,74.54786953520569,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
22.0,add_cx,74.54786953520569,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
23.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
24.0,add_cx,74.55590154701899,1.0,1.0,74.55590154701899,8.0,0.0,0.0,0.0,1.0
